# DEPTH(m)    AC_TDR_CORRECTED(us/ft)    RHO_TDR_CORRECTED(kg/m3)
737.2941 166.813656 2023.276419
737.3941 166.188218 2026.759607
737.4941 165.585488 2029.829453
737.5941 165.264555 2031.897243
737.6942 165.564555 2031.897243
737.7941 165.815202 2031.897243
737.8941 166.027546 2031.863209
737.9941 166.447806 2031.034899
738.0941 166.754863 2030.405524
738.1942 166.808729 2030.405524
738.2941 166.813366 2030.405524
738.3941 166.570823 2031.016374
738.4941 166.092072 2032.206773
738.5941 165.434120 2033.804596
738.6942 164.657852 2035.624122
738.7941 163.859479 2037.367136
738.8941 163.316048 2038.161316
738.9941 162.976287 2038.161316
739.0941 162.587324 2038.161316
739.1942 163.009067 2035.980254
739.2941 164.128372 2032.460764
739.3941 165.806367 2027.273206
739.4941 168.149207 2020.147441
739.5941 171.103895 2011.341400
739.6942 174.381427 2001.795396
739.7941 177.444811 1993.072509
739.8941 178.990047 1988.732929
739.9941 178.982126 1988.732929
740.0941 178.974054 1988.732929
740.1942 176.056826 1996.900635
740.2941 172.081450 2008.315027
740.3941 167.853927 2020.821277
740.4941 164.118247 2032.200580
740.5941 161.536415 2040.246716
740.6942 161.527427 2040.246716
740.7941 161.518291 2040.246716
740.8941 163.502008 2034.000489
740.9941 166.294704 2025.079678
741.0941 168.858848 2016.583440
741.1942 170.748990 2010.292921
741.2941 171.737987 2006.776909
741.3941 172.004814 2005.444567
741.4941 171.951272 2005.108553
741.5941 171.815465 2005.076704
741.6942 171.691339 2005.076704
741.7941 171.590009 2005.076704
741.8941 170.959454 2006.678065
741.9941 169.887586 2009.642302
742.0941 168.552453 2013.473197
742.1942 167.225058 2017.385661
742.2941 166.139402 2020.676789
742.3941 165.452464 2022.855601
742.4941 165.432271 2023.091689
742.5941 165.512812 2023.091689
742.6942 165.616147 2023.091689
742.7941 165.643809 2023.091689
742.8941 165.506516 2023.091689
742.9941 165.008714 2024.243837
743.0941 164.227113 2026.338209
743.1942 163.336687 2028.851698
743.2941 162.475496 2031.365403
743.3941 161.722516 2033.633655
743.4941 161.064719 2035.692825
743.5941 160.419122 2037.800133
743.6942 159.696761 2040.237242
743.7941 158.824574 2043.242195
743.8941 157.780539 2046.898092
